ID,Full-time enrollment,Graduate enrollment,Part-time enrollment,Total enrollment,Undergraduate enrollment
C0362,3695,585,3038,6733,6148
C0363,2009,130,2447,4456,4326
C0364,1327,150,22,1349,1199
C0365,1863,511,851,2714,2203
C0366,13321,4193,1638,14959,10766
C0367,215,54,291,506,452
C0368,11908,3647,216,12124,8477
C0369,494,107,1924,2418,2311
C0370,5168,1032,4254,9422,8390
C0371,2732,48,3370,6102,6054
C0372,1815,401,566,2381,1980
C0373,1039,22,124,1163,1141
C0374,548,238,339,887,649
C0375,1469,0,10,1479,1479
C0376,1929,99,316,2245,2146
C0377,1430,1,445,1875,1874
C0378,4062,1257,446,4508,3251
C0379,902,0,0,902,902
C0380,881,132,293,1174,1042
C0381,1960,106,439,2399,2293
C0382,1340,0,46,1386,1386
C0383,1014,214,211,1225,1011
C0384,1351,0,68,1419,1419
C0385,1117,0,8,1125,1125
C0386,1345,54,85,1430,1376
C0387,4120,1756,1019,5139,3383
C0388,1754,329,269,2023,1694
C0389,1650,727,636,2286,1559
C0390,1728,33,401,2129,2096
C0391,1664,0,57,1721,1721
C0392,29398,5296,3557,32955,27659
C0393,482,0,117,599,599
C0394,24295,7774,5453,29748,21974
C0395,1500,67,121,1621,1554
C0396,2413,0,53,2466,2466
C0397,832,817,304,1136,319
C0398,1275,1237,1267,2542,1305
C0399,995,285,766,1761,1476
C0400,9968,1779,2191,12159,10380
C0401,1133,0,100,1233,1233
C0402,2832,864,775,3607,2743
C0403,1500,61,273,1773,1712
C0404,3651,672,1653,5304,4632
C0405,1643,0,71,1714,1714
C0406,1655,147,220,1875,1728
C0407,1315,1179,1761,3076,1897
C0408,1796,64,381,2177,2113
C0409,603,0,62,665,665
C0410,464,0,18,482,482
C0411,741,0,296,1037,1037
C0412,271,0,203,474,474
C0413,3787,2160,2246,6033,3873
C0414,5999,2008,7442,13441,11433
C0415,1206,569,972,2178,1609
C0416,23034,7751,3934,26968,19217
C0417,1275,941,2461,3736,2795
C0418,20549,4412,4032,24581,20169
C0419,624,45,105,729,684
C0420,603,19,53,656,637
C0421,1491,469,416,1907,1438
C0422,523,20,35,558,538
C0423,0,64,356,356,292
C0424,6006,1164,1394,7400,6236
C0425,914,435,411,1325,890
C0426,574,303,1087,1661,1358
C0427,595,0,95,690,690
C0428,565,11,171,736,725
C0429,4562,794,2411,6973,6179
C0430,10184,2716,4202,14386,11670
C0431,606,0,25,631,631
C0432,1390,250,407,1797,1547
C0433,2682,826,737,3419,2593
C0434,1587,0,36,1623,1623
C0435,695,21,254,949,928
C0436,2195,472,1325,3520,3048
C0437,1378,0,3,1381,1381
C0438,2439,2828,2485,4924,2096
C0439,11651,2220,4460,16111,13891
C0440,1017,356,382,1399,1043
C0441,1887,163,646,2533,2370
C0442,621,0,36,657,657
C0443,25658,6994,2777,28435,21441
C0444,496,35,98,594,559
C0445,2520,444,124,2644,2200
C0446,16364,5490,5080,21444,15954
C0447,1905,97,346,2251,2154
C0448,745,104,606,1351,1247
C0449,6472,1282,4886,11358,10076
C0450,7838,1771,3105,10943,9172
C0451,10597,2469,4666,15263,12794
C0452,1749,467,456,2205,1738
