ID,ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile)
C0484,17,21,420,530,430,550,420,530
C0485,,,,,,,,
C0486,,,,,,,,
C0487,18,27,400,500,410,500,400,500
C0488,18,25,410,530,410,520,390,510
C0489,21,26,480,590,490,610,460,580
C0490,20,24,440,550,480,580,430,530
C0491,,,,,,,,
C0492,21,26,470,570,480,580,,
C0493,,,430,520,440,530,430,530
C0494,20,25,450,550,440,560,440,540
C0495,16,21,390,490,400,510,390,480
C0496,,,,,,,,
C0497,,,430,530,410,510,400,510
C0498,17,20,410,490,400,470,390,470
C0499,,,,,,,,
C0500,,,410,480,400,470,,
C0501,18,22,430,530,430,540,420,510
C0502,,,,,,,,
C0503,18,25,450,580,460,580,460,550
C0504,30,34,650,740,670,770,660,750
C0505,25,29,540,627,560,640,,
C0506,,,,,,,,
C0507,24,29,540,640,570,670,530,640
C0508,,,580,690,620,730,,
C0509,16,19,400,480,390,480,380,460
C0510,16,19,410,490,410,490,390,480
C0511,17,23,500,600,490,580,490,590
C0512,20,23,470,590,460,560,,
C0513,22,26,540,610,540,620,530,610
C0514,25,30,570,670,540,650,540,650
C0515,,,,,,,,
C0516,,,,,,,,
C0517,21,25,490,580,500,590,500,580
C0518,,,,,,,,
C0519,18,23,440,540,450,560,450,540
C0520,24,29,520,640,520,640,510,610
C0521,21,27,500,600,500,610,,
C0522,16,21,390,490,390,500,380,490
C0523,30,34,670,760,680,770,670,760
C0524,,,,,,,,
C0525,,,,,,,,
C0526,18,22,430,550,410,540,410,530
C0527,19,24,450,550,440,570,423,530
C0528,26,30,540,630,600,680,550,650
C0529,30,33,620,710,650,740,640,730
C0530,26,30,570,670,610,720,600,690
C0531,28,32,600,710,630,760,620,720
C0532,19,24,440,540,450,550,,
C0533,,,,,,,,
C0534,,,,,,,,
C0535,16,20,420,515,420,520,,
C0536,17,24,410,550,410,530,400,540
C0537,26,30,590,670,550,650,580,670
C0538,21,26,500,590,500,590,510,600
C0539,21,25,480,570,500,590,480,570
C0540,,,370,460,360,460,,
C0541,18,22,440,540,450,550,430,530
C0542,19,25,470,560,480,570,470,560
C0543,22,29,516,653,499,639,507,648
C0544,,,,,,,,
C0545,32,35,700,800,710,800,710,800
C0546,,,,,,,,
