ID,Control,Highest degree offered,Total enrollment,4-year graduation rate (%),5-year graduation rate (%),6-year graduation rate (%),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Endowment assets ($),Receiving financial aid (%),Admission rate (%)
C0285,Private,Bachelor's degree,,74,78,78,,,,,,,,,50005,99,59
C0286,Private,Doctoral degree,,44,56,58,19,24,460,560,460,560,,,9032,100,76
C0287,Private,Bachelor's degree,,34,45,45,19,25,520,570,500,620,,,27143,99,68
C0288,Private,Doctoral degree,,55,73,76,23,28,500,640,510,630,490,620,49328,99,67
C0289,Public,Doctoral degree,,4,15,21,17,20,430,510,450,530,,,746,97,29
C0290,Private,Doctoral degree,,88,91,93,32,35,720,800,720,790,700,780,429800,67,9
C0291,Private,Master's degree,,32,39,41,,,,,,,,,13111,79,91
C0292,Private,Doctoral degree,,45,50,53,20,24,440,590,450,580,,,4808,100,54
C0293,Private,Doctoral degree,,54,68,70,23,28,530,630,520,630,,,17773,95,60
C0294,Private,Bachelor's degree,,7,9,11,,,,,,,,,,100,
C0295,Public,Master's degree,,34,56,60,19,24,,,,,,,4361,93,62
C0296,Private,Master's degree,,59,72,74,21,26,450,550,450,580,,,26608,89,72
C0297,Private,Bachelor's degree,,43,61,61,19,26,565,665,530,650,565,585,22303,100,68
C0298,Public,Doctoral degree,,,,,,,,,,,,,367,,
C0299,Private,Master's degree,,41,50,50,19,25,432,550,515,595,400,570,10621,98,66
C0300,Public,Doctoral degree,,30,51,57,21,26,490,600,510,640,,,7841,82,71
C0301,Private,Doctoral degree,,38,50,52,19,25,,,,,,,2168,96,69
C0302,Public,Doctoral degree,,68,82,84,26,31,560,670,700,780,580,670,21391,65,62
C0303,Private,Bachelor's degree,,72,77,78,25,30,510,620,570,740,,,116710,99,58
C0304,Private,Master's degree,,56,63,64,19,25,410,540,410,580,420,510,135452,100,61
