ID,Control,Highest degree offered,Admission rate (%),Tuition and fees 2010-11 ($),Tuition and fees 2011-12 ($),Tuition and fees 2012-13 ($),Tuition and fees 2013-14 ($),ACT Composite score (25th percentile) ,ACT Composite score (75th percentile),SAT Critical Reading score (25th percentile),SAT Critical Reading score (75th percentile),SAT Math score (25th percentile),SAT Math score (75th percentile),SAT Writing score (25th percentile) ,SAT Writing score (75th percentile),Receiving financial aid (%)
C0139,Private,Bachelor's degree,79,22400,22850,23600,24500,23,31,590,700,570,640,570,690,82
C0140,Private,Bachelor's degree,70,34460,35650,37020,38510,24,29,520,650,540,660,520,650,99
C0141,Private,Doctoral degree,63,35582,36992,38640,40296,20,25,460,570,470,580,470,580,94
C0142,Private,Master's degree,56,29132,29994,31444,33150,19,25,420,540,440,550,,,79
C0143,Public,Master's degree,53,4971,5627,6448,7449,17,22,440,533,450,550,440,530,92
C0144,Public,Doctoral degree,76,7214,7394,7494,7933,20,26,490,600,480,605,,,71
C0145,Public,Doctoral degree,91,6029,6512,6688,7024,21,25,470,580,470,600,,,76
C0146,Public,Doctoral degree,88,8511,9152,9482,10347,24,29,520,630,540,650,,,59
C0147,Private,Master's degree,98,22040,22960,23870,25046,,,,,,,,,98
C0148,Private,Master's degree,22,38898,40050,41892,44222,27,32,610,710,610,720,620,700,53
C0149,Public,Doctoral degree,37,13425,14453,15654,16485,27,31,570,670,630,720,550,650,87
C0150,Public,Doctoral degree,77,6895,7952,8649,9313,22,27,510,620,510,630,,,73
C0151,Private,Bachelor's degree,,15024,15790,16154,17211,,,,,,,,,95
C0152,Private,Doctoral degree,77,36501,37833,39177,40707,25,30,540,660,560,660,520,630,85
C0153,Public,Master's degree,88,4924,5592,6462,6923,20,25,470,570,475,580,,,91
C0154,Public,Doctoral degree,82,6248,6548,6870,6725,18,23,430,540,450,550,,,90
C0155,Public,Master's degree,71,4093,4834,5341,5744,18,23,460,590,470,610,,,68
C0156,Private,Master's degree,80,25100,26360,27670,28790,,,,,,,,,63
C0157,Public,Doctoral degree,70,5997,6623,6514,6968,20,24,450,570,450,570,,,90
C0158,Private,Doctoral degree,70,30598,31188,31800,32424,21,26,490,600,470,600,,,98
C0159,Public,Master's degree,94,5615,6270,7327,7327,18,23,420,510,420,540,,,94
C0160,Public,Master's degree,93,4775,5473,6449,7343,19,24,430,560,430,550,,,91
C0161,Private,Master's degree,68,24374,26294,28358,28378,,,380,480,320,480,410,470,83
C0162,Private,Doctoral degree,64,26370,27330,28140,29090,18,22,410,500,420,510,410,500,93
C0163,Public,Doctoral degree,64,7861,8055,8321,8706,19,25,450,540,460,560,450,550,84
C0164,Public,Bachelor's degree,,,,,,,,,,,,,,
C0165,Private,Master's degree,36,43990,43990,44890,46085,,,,,,,,,53
C0166,Public,Doctoral degree,54,10416,10670,11242,12022,25,30,550,650,580,680,,,77
C0167,Public,Master's degree,65,8350,8555,8911,9376,20,24,460,550,470,550,470,560,82
C0168,Private,Doctoral degree,71,39040,40580,41690,42920,,,,,,,,,89
C0169,Private,Master's degree,,,,,,,,,,,,,,
C0170,Private,Doctoral degree,62,29852,30754,32172,33358,20,26,470,570,480,580,,,98
C0171,Private,Bachelor's degree,58,26907,27714,28494,29458,,,,,,,,,100
C0172,Private,Doctoral degree,74,30750,31750,32750,33740,20,25,460,550,470,580,460,560,95
C0173,Private,Doctoral degree,67,34250,36130,38000,39330,22,27,490,580,510,610,500,590,89
C0174,Private,Doctoral degree,76,31440,32724,34030,35050,,,,,,,,,95
C0175,Private,Doctoral degree,86,28530,30310,31826,33417,18,22,430,520,430,520,,,100
C0176,Public,Doctoral degree,75,8050,8248,8570,9020,17,22,410,510,410,510,420,530,81
