ID,Control,Highest degree offered
C0838,Private,Master's degree
C0839,Private,Doctoral degree
C0840,Private,Master's degree
C0841,Private,Doctoral degree
C0842,Private,Doctoral degree
C0843,Private,Doctoral degree
C0844,Private,Doctoral degree
C0845,Private,Doctoral degree
C0846,Private,Doctoral degree
C0847,Private,Bachelor's degree
C0848,Private,Doctoral degree
C0849,Private,Doctoral degree
C0850,Private,Master's degree
C0851,Private,Doctoral degree
C0852,Private,Doctoral degree
C0853,Private,Doctoral degree
C0854,Private,Master's degree
C0855,Private,Master's degree
C0856,Private,Master's degree
C0857,Private,Master's degree
C0858,Private,Master's degree
C0859,Private,Master's degree
C0860,Private,Master's degree
C0861,Private,Master's degree
C0862,Private,Master's degree
C0863,Private,Doctoral degree
C0864,Private,Doctoral degree
C0865,Public,Bachelor's degree
C0866,Public,Bachelor's degree
C0867,Public,Bachelor's degree
C0868,Public,Bachelor's degree
C0869,Public,Bachelor's degree
C0870,Public,Bachelor's degree
C0871,Public,Doctoral degree
C0872,Public,Doctoral degree
C0873,Public,Doctoral degree
C0874,Public,Doctoral degree
C0875,Public,Doctoral degree
C0876,Public,Master's degree
C0877,Public,Master's degree
C0878,Public,Master's degree
C0879,Public,Master's degree
C0880,Public,Master's degree
C0881,Public,Master's degree
C0882,Public,Master's degree
C0883,Public,Master's degree
C0884,Public,Master's degree
C0885,Public,Master's degree
C0886,Public,Master's degree
C0887,Public,Master's degree
C0888,Public,Master's degree
C0889,Public,Master's degree
C0890,Public,Master's degree
C0891,Private,Doctoral degree
C0892,Private,Doctoral degree
C0893,Private,Doctoral degree
C0894,Private,Master's degree
C0895,Private,Bachelor's degree
C0896,Public,Master's degree
C0897,Private,Doctoral degree
C0898,Private,Master's degree
C0899,Private,Master's degree
C0900,Private,Bachelor's degree
C0901,Private,Doctoral degree
C0902,Public,Doctoral degree
C0903,Private,Master's degree
C0904,Private,Bachelor's degree
C0905,Private,Bachelor's degree
C0906,Private,Bachelor's degree
C0907,Private,Doctoral degree
C0908,Private,Master's degree
C0909,Private,Master's degree
C0910,Private,Bachelor's degree
C0911,Private,Doctoral degree
C0912,Public,Doctoral degree
C0913,Public,Master's degree
C0914,Private,Doctoral degree
C0915,Public,Doctoral degree
C0916,Private,Doctoral degree
C0917,Private,Master's degree
C0918,Private,Bachelor's degree
C0919,Private,Doctoral degree
C0920,Private,Bachelor's degree
C0921,Private,Bachelor's degree
C0922,Private,Master's degree
C0923,Private,Bachelor's degree
C0924,Private,Master's degree
C0925,Private,Master's degree
C0926,Private,Master's degree
