ID,Control,Highest degree offered,,Admission rate (%),Total enrollment,Tuition and fees 2011-12 ($),4-year graduation rate (%),Geographic region,ACT Composite score (25th percentile),ACT Composite score (75th percentile),Receiving financial aid (%)
C0272,Public,Doctoral degree,,54,11929,5645,17,Southeast,18,22,94
C0273,Private,Master's degree,,84,2752,18440,27,Far West,19,23,100
C0274,Public,Doctoral degree,,75,4043,5944,8,Far West,19,23,85
C0275,Public,Doctoral degree,,80,20006,9100,19,Far West,21,27,79
C0276,Private,Master's degree,,64,6736,16610,19,Far West,19,25,95
C0277,Public,Bachelor's degree,,76,2361,5146,6,Far West,16,22,64
C0278,Public,Doctoral degree,,78,21981,5566,11,Rocky Mountains,20,26,80
C0279,Public,Doctoral degree,,,13326,5796,11,Rocky Mountains,,,87
C0280,Public,Doctoral degree,,66,12024,5856,25,Rocky Mountains,20,26,91
C0281,Private,Master's degree,,91,1122,22695,54,Rocky Mountains,21,27,99
C0282,Public,Bachelor's degree,,100,4304,5348,9,Rocky Mountains,18,22,97
C0283,Private,Doctoral degree,,62,2246,24030,32,Rocky Mountains,21,28,100
C0284,Private,Bachelor's degree,,100,27692,3811,22,Rocky Mountains,20,25,71
C0285,Private,Bachelor's degree,,59,2524,33363,74,Great Lakes,,,99
C0286,Private,Doctoral degree,,76,4946,19450,44,Great Lakes,19,24,100
C0287,Private,Bachelor's degree,,68,543,16296,34,Great Lakes,19,25,99
C0288,Private,Doctoral degree,,67,5430,26704,55,Great Lakes,23,28,99
C0289,Public,Doctoral degree,,29,5701,9062,4,Great Lakes,17,20,97
C0290,Private,Doctoral degree,,9,15048,43780,88,Great Lakes,32,35,67
C0291,Private,Master's degree,,91,10142,20644,32,Great Lakes,,,79
C0292,Private,Doctoral degree,,54,5286,25456,45,Great Lakes,20,24,100
C0293,Private,Doctoral degree,,60,24414,30618,54,Great Lakes,23,28,95
C0294,Private,Bachelor's degree,,,684,16650,7,Great Lakes,,,100
C0295,Public,Master's degree,,62,9775,10534,34,Great Lakes,19,24,93
C0296,Private,Master's degree,,72,3210,30054,59,Great Lakes,21,26,89
C0297,Private,Bachelor's degree,,68,692,18750,43,Great Lakes,19,26,100
C0298,Public,Doctoral degree,,,5568,,,Great Lakes,,,
C0299,Private,Master's degree,,66,1368,22198,41,Great Lakes,19,25,98
C0300,Public,Doctoral degree,,71,28038,12656,30,Great Lakes,21,26,82
C0301,Private,Doctoral degree,,69,6318,23184,38,Great Lakes,19,25,96
C0302,Public,Doctoral degree,,62,44942,13838,68,Great Lakes,26,31,65
C0303,Private,Bachelor's degree,,58,2009,36572,72,Great Lakes,25,30,99
C0304,Private,Master's degree,,61,1028,24550,56,Great Lakes,19,25,100
C0305,Private,Doctoral degree,,57,7850,35125,32,Great Lakes,25,30,100
C0306,Public,Doctoral degree,,69,20272,11832,46,Great Lakes,22,26,79
C0307,Private,Doctoral degree,,71,1170,26110,32,Great Lakes,18,27,100
C0308,Private,Bachelor's degree,,75,1424,34464,71,Great Lakes,,,98
C0309,Private,Master's degree,,57,1618,36920,58,Great Lakes,23,28,99
C0310,Private,Doctoral degree,,56,6525,24770,45,Great Lakes,21,26,99
C0311,Private,Bachelor's degree,,87,1240,23000,,Great Lakes,16,19,89
C0312,Private,Doctoral degree,,91,15957,33294,60,Great Lakes,24,29,96
C0313,Private,Bachelor's degree,,75,571,20400,28,Great Lakes,19,22,100
C0314,Private,Doctoral degree,,63,3027,24190,32,Great Lakes,20,25,100
C0315,Private,Doctoral degree,,55,2261,28612,48,Great Lakes,21,26,100
C0316,Private,Bachelor's degree,,64,1255,28650,57,Great Lakes,20,25,100
C0317,Private,Doctoral degree,,99,4814,18895,29,Great Lakes,,,86
C0318,Private,Master's degree,,64,3048,29733,51,Great Lakes,22,27,99
C0319,Private,Doctoral degree,,52,3136,21050,39,Great Lakes,19,25,99
C0320,Public,Doctoral degree,,56,21138,12422,26,Great Lakes,19,24,96
C0321,Private,Doctoral degree,,15,21592,41983,86,Great Lakes,31,34,63
C0322,Public,Master's degree,,60,10821,7879,4,Great Lakes,16,21,77
C0323,Private,Doctoral degree,,82,4579,27590,49,Great Lakes,21,27,100
C0324,Private,Master's degree,,89,1455,24140,39,Great Lakes,20,25,100
C0325,Private,Master's degree,,21,3233,21600,76,Great Lakes,,,97
C0326,Private,Master's degree,,41,1230,25570,25,Great Lakes,19,25,100
C0327,Private,Doctoral degree,,79,6130,25000,27,Great Lakes,19,25,96
C0328,Private,Doctoral degree,,60,3470,26610,50,Great Lakes,20,24,100
C0329,Private,Doctoral degree,,51,3764,25932,32,Great Lakes,21,25,100
C0330,Private,Master's degree,,51,4252,27060,30,Great Lakes,19,24,100
C0331,Public,Doctoral degree,,60,5137,8581,28,Great Lakes,20,27,96
C0332,Private,Bachelor's degree,,29,97,30150,50,Great Lakes,,,86
C0333,Public,Doctoral degree,,79,17964,11038,23,Great Lakes,19,25,88
C0334,Public,Doctoral degree,,84,13850,8865,28,Great Lakes,20,25,86
C0335,Private,Master's degree,,90,1380,22572,49,Great Lakes,20,25,96
C0336,Private,Doctoral degree,,94,2125,24610,35,Great Lakes,20,25,100
C0337,Public,Doctoral degree,,59,11707,10719,29,Great Lakes,18,23,82
C0338,Private,Doctoral degree,,69,2993,28960,74,Great Lakes,27,32,81
C0339,Private,Doctoral degree,,55,2442,24610,45,Great Lakes,21,25,100
C0340,Public,Doctoral degree,,61,20503,8558,35,Great Lakes,20,24,87
C0341,Private,Master's degree,,72,1804,23630,47,Great Lakes,20,27,100
C0342,Private,Doctoral degree,,66,4827,31948,51,Great Lakes,25,30,94
C0343,Private,Master's degree,,40,1140,14880,18,Great Lakes,15,20,95
C0344,Private,Bachelor's degree,,61,2304,36970,74,Great Lakes,25,29,98
